*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Controller_v3 - trial 6.3.4 mux fix filled
*Date=23:15:45
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;220;THT;87.8253;-66.1732;0;Bottom;R33
102;;;126.53;-23.9398;0;Bottom;Copper Fill109
103;100nF;100 mil [THT, multilayer];70.0453;-121.418;180;Bottom;C10
104;;;107.747;-32.6774;0;Bottom;Copper Fill277
105;;;48.8442;-44.1582;0;Bottom;Copper Fill241
106;;;113.767;-129.147;0;Bottom;Copper Fill148
107;;;92.8751;-83.0202;0;Bottom;Copper Fill114
108;;;78.613;-23.0381;0;Bottom;Copper Fill42
109;68k;THT;104.97;-96.6532;90;Bottom;R27
110;220;THT;49.7253;-66.1732;180;Bottom;R32
111;;THT;45.9153;-8.38823;0;Bottom;TH1
112;;;14.097;-23.6858;0;Bottom;Copper Fill10
113;;;106.845;-41.8214;0;Bottom;Copper Fill88
114;;;129.311;-104.483;0;Bottom;Copper Fill172
115;;;5.2752;-40.7733;0;Bottom;Via8
116;;;47.1678;-59.6014;0;Bottom;Copper Fill19
117;;;37.338;-37.4526;0;Bottom;Copper Fill249
118;;;123.088;-55.766;0;Bottom;Copper Fill219
119;;;91.9607;-82.0677;0;Bottom;Copper Fill115
120;;;116.688;-91.1482;0;Bottom;Copper Fill200
121;;;32.5755;-147.028;0;Bottom;Copper Fill323
122;;;129.946;-79.7182;0;Bottom;Copper Fill198
123;;;48.514;-41.9484;0;Bottom;Copper Fill246
124;;;48.2854;-111.621;0;Bottom;Copper Fill164
125;;;123.99;-94.4502;0;Bottom;Copper Fill73
126;;;45.9486;-25.1336;0;Bottom;Copper Fill263
127;;;48.0441;-60.5031;0;Bottom;Copper Fill303
128;;;34.8107;-75.0954;0;Bottom;Copper Fill384
129;;;12.2682;-74.181;0;Bottom;Copper Fill218
130;;;89.7128;-17.0183;0;Bottom;Copper Fill378
131;;;118.91;-97.5617;0;Bottom;Copper Fill342
132;;;21.8059;-14.7831;0;Bottom;Copper Fill124
133;;computer-peripheral-power-ra;23.0553;-9.09943;180;Bottom;Molex
134;;;29.2862;-25.2606;0;Bottom;Copper Fill268
135;100nF;100 mil [THT, multilayer];59.2503;-101.733;180;Bottom;C11
136;;;60.5028;-102.642;0;Bottom;Copper Fill138
137;220;THT;33.2153;-28.0732;-90;Bottom;R54
138;10k;THT;94.8103;-87.1282;180;Bottom;R38
139;;;64.008;-136.614;0;Bottom;Copper Fill146
140;;;135.42;-23.9398;0;Bottom;Copper Fill110
141;;THT;77.0303;-12.1982;0;Bottom;Fan-4
142;;;21.8059;-14.7831;0;Bottom;Copper Fill392
143;220;THT;118.94;-75.6982;90;Bottom;R43
144;;;48.0441;-60.5031;0;Bottom;Copper Fill21
145;;;51.5366;-104.001;0;Bottom;Copper Fill160
146;;;6.1214;-63.7162;0;Bottom;Copper Fill216
147;0.22mF;200 mil [THT, electrolytic];90.3653;-25.5332;-90;Bottom;C4
148;;;61.3791;-39.5481;0;Bottom;Copper Fill308
149;;;118.694;-87.3382;0;Bottom;Copper Fill193
150;;;74.5236;-11.189;0;Bottom;Copper Fill285
151;68k;THT;50.3603;-87.1282;180;Bottom;R22
152;;;105.931;-42.7231;0;Bottom;Copper Fill359
153;0.22µF;100 mil [THT, electrolytic];107.51;-19.8182;180;Bottom;C21
154;;THT;121.48;-139.833;180;Bottom;EEPROM
155;;;34.4678;-121.692;0;Bottom;Copper Fill75
156;;;109.525;-5.9312;0;Bottom;Copper Fill298
157;;;34.8107;-75.0954;0;Bottom;Copper Fill127
158;;;79.5401;-22.1618;0;Bottom;Copper Fill41
159;10k;THT;40.8353;-24.2632;90;Bottom;R48
160;;;56.9976;-123.609;0;Bottom;Copper Fill154
161;;;22.7584;-66.2054;0;Bottom;Copper Fill51
162;;dip;120.21;-89.6682;180;Bottom;tiny85-1
163;;;118.91;-95.8599;0;Bottom;Copper Fill70
164;;;70.993;-75.0192;0;Bottom;Copper Fill13
165;;;73.025;-95.1106;0;Bottom;Copper Fill186
166;;TO92 [THT];34.0408;-44.6721;180;Bottom;Q24
167;2.2k;THT;111.955;-137.293;-90;Bottom;R29
168;;;71.2978;-122.314;0;Bottom;Copper Fill78
169;;;103.937;-31.2042;0;Bottom;Copper Fill255
170;;;16.0703;-50.9247;0;Bottom;Arduino Nano
171;;;19.6596;-23.2286;0;Bottom;Copper Fill270
172;;;62.4078;-38.5575;0;Bottom;Copper Fill307
173;;;110.998;-10.2746;0;Bottom;Copper Fill296
174;;;88.0999;-120.168;0;Bottom;Copper Fill335
175;;;134.925;-42.7358;0;Bottom;Copper Fill239
176;220;THT;111.32;-82.0482;90;Bottom;R44
177;;;116.37;-35.3698;0;Bottom;Copper Fill105
178;;;60.5028;-102.642;0;Bottom;Copper Fill393
179;;;110.998;-12.8146;0;Bottom;Copper Fill288
180;;;114.478;-123.139;0;Bottom;Copper Fill355
181;;;29.845;-111.621;0;Bottom;Copper Fill163
182;;;125.26;-135.166;0;Bottom;Copper Fill388
183;;;35.2933;-120.803;0;Bottom;Copper Fill349
184;;;112.166;-89.7766;0;Bottom;Copper Fill189
185;;;116.37;-79.3499;0;Bottom;Copper Fill74
186;;;23.0378;-147.181;0;Bottom;Copper Fill351
187;220;THT;12.2603;-74.4282;0;Bottom;R3
188;;;107.734;-42.7231;0;Bottom;Copper Fill90
189;;;39.243;-87.7827;0;Bottom;Copper Fill118
190;;;90.0684;-100.165;0;Bottom;Copper Fill179
191;;TO220 [THT];128.084;-50.2982;90;Bottom;Q10
192;;;99.7966;-115.812;0;Bottom;Copper Fill162
193;;TO92 [THT];108.59;-52.7493;0;Bottom;Q21
194;2.2k;THT;114.495;-137.293;-90;Bottom;R30
195;;;52.5272;-124.244;0;Bottom;Copper Fill152
196;;;106.172;-63.1828;0;Bottom;Copper Fill214
197;;;72.1233;-121.438;0;Bottom;Copper Fill80
198;;;52.4256;-40.5006;0;Bottom;Copper Fill242
199;;;106.172;-67.9072;0;Bottom;Copper Fill207
200;;;92.8751;-83.0202;0;Bottom;Copper Fill374
201;;TO92 [THT];108.59;-57.8293;0;Bottom;Q20
202;;TO92 [THT];31.5008;-49.1171;180;Bottom;Q23
203;;;61.3156;-101.753;0;Bottom;Copper Fill394
204;;;118.58;-118.898;0;Bottom;Copper Fill389
205;;;47.1678;-90.0814;0;Bottom;Copper Fill23
206;;;118.58;-118.898;0;Bottom;Copper Fill137
207;;THT;31.9453;-111.258;0;Bottom;DAC-2
208;;;35.2933;-120.803;0;Bottom;Copper Fill77
209;;;63.3857;-39.5481;0;Bottom;Copper Fill33
210;47k;THT;84.6503;-90.9382;-90;Bottom;R28
211;;;54.1528;-56.3502;0;Bottom;Copper Fill299
212;;;73.8378;-140.894;0;Bottom;Copper Fill47
213;;;121.564;-60.592;0;Bottom;Copper Fill215
214;10k;THT;50.9953;-24.2632;90;Bottom;R51
215;;;112.192;-47.8031;0;Bottom;Copper Fill364
216;;;68.7451;-23.9652;0;Bottom;Copper Fill310
217;;;66.675;-111.265;0;Bottom;Copper Fill167
218;;;108.382;-91.5927;0;Bottom;Copper Fill119
