*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Controller_v3 - trial 6.3.4 mux fix filled
*Date=23:15:45
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
446;;;94.1578;-52.5275;0;Bottom;Copper Fill35
447;;;68.9864;-15.7864;0;Bottom;Copper Fill281
448;;;35.7505;-76.0225;0;Bottom;Copper Fill125
449;;;116.205;-63.894;0;Bottom;Copper Fill209
450;;;87.8078;-113.64;0;Bottom;Copper Fill130
451;;;99.5426;-14.1608;0;Bottom;Copper Fill274
452;;;62.4078;-53.1498;0;Bottom;Copper Fill16
453;100nF;100 mil [THT, multilayer];117.67;-96.6532;180;Bottom;C19
454;;;115.303;-123.978;0;Bottom;Copper Fill86
455;;;5.2752;-36.9633;0;Bottom;Via9
456;;DIP (Dual Inline) [THT];94.1753;-94.1132;0;Bottom;LM393-2
457;;;122.758;-67.9072;0;Bottom;Copper Fill210
458;;;29.6418;-138.583;0;Bottom;Copper Fill66
459;;;135.204;-59.449;0;Bottom;Copper Fill217
460;;THT;18.9955;-146.997;90;Bottom;IR1
461;;;35.7505;-76.0225;0;Bottom;Copper Fill382
462;;;122.115;-122.053;0;Bottom;Via5
463;;THT;13.5303;-111.258;0;Bottom;DAC-1
464;;TO220 [THT];61.7903;-70.8722;0;Bottom;Q1
465;;;27.813;-49.0731;0;Bottom;Copper Fill95
466;;;112.014;-54.6738;0;Bottom;Copper Fill231
467;;;62.4078;-55.1564;0;Bottom;Copper Fill300
468;;;115.303;-123.978;0;Bottom;Copper Fill356
469;;;21.9964;-113.475;0;Bottom;Copper Fill158
470;;THT;51.6303;-8.38823;0;Bottom;TH3
471;220;THT;79.5703;-96.0182;90;Bottom;R2
472;68k;THT;42.7403;-92.8432;-90;Bottom;R23
473;;DIP (Dual Inline) [THT];50.9953;-94.7482;0;Bottom;LM393-1
474;;;18.542;-36.8938;0;Bottom;Copper Fill8
475;;;74.3966;-53.6324;0;Bottom;Copper Fill221
476;10k;THT;43.3753;-24.2632;90;Bottom;R49
477;;;89.4207;-23.0381;0;Bottom;Copper Fill38
478;;THT;50.3603;-111.258;0;Bottom;DAC-3
479;47k;THT;40.2003;-92.8432;-90;Bottom;R24
480;0.22mF;200 mil [THT, electrolytic];35.7553;-72.5232;90;Bottom;C20
481;;;117.526;-42.685;0;Bottom;Copper Fill240
482;;;79.5401;-22.1618;0;Bottom;Copper Fill319
483;;;76.8858;-99.1238;0;Bottom;Copper Fill181
484;0.030;5 mm [THT];30.7313;-146.183;90;Bottom;LED1
485;;;56.642;-16.0912;0;Bottom;Copper Fill279
486;;;105.931;-42.7231;0;Bottom;Copper Fill89
487;;300 mil [THT];62.4253;-57.8928;90;Bottom;D1
488;;;47.1678;-61.4302;0;Bottom;Copper Fill18
489;;;55.6514;-23.381;0;Bottom;Copper Fill271
490;;TO220 [THT];136.974;-27.4382;90;Bottom;Q8
491;;;42.9514;-9.3602;0;Bottom;Copper Fill293
492;;;108.42;-127.153;0;Bottom;Copper Fill354
493;;;61.3791;-39.5481;0;Bottom;Copper Fill32
494;;THT;122.75;-10.2932;0;Bottom;RGB2
495;;;126.53;-35.3698;0;Bottom;Copper Fill108
496;;THT;114.495;-127.133;-90;Bottom;LCD
497;100nF;100 mil [THT, multilayer];89.0953;-114.433;0;Bottom;C13
498;;;9.271;-61.1254;0;Bottom;Copper Fill97
499;4.7k;THT;102.426;-30.622;-90;Bottom;R15
500;;;55.8292;-143.32;0;Bottom;Copper Fill144
501;;;34.4678;-119.99;0;Bottom;Copper Fill76
502;22k;THT;52.2653;-60.4582;0;Bottom;R39
503;;;135.89;-36.7922;0;Bottom;Copper Fill254
504;;;50.3682;-49.9748;0;Bottom;Copper Fill232
505;;;22.3266;-49.289;0;Bottom;Copper Fill6
506;;;59.1566;-73.6476;0;Bottom;Copper Fill212
507;;;92.8751;-81.1914;0;Bottom;Copper Fill375
508;;;35.7632;-40.6276;0;Bottom;Copper Fill243
509;100nF;100 mil [THT, multilayer];74.4903;-95.3832;-90;Bottom;C2
510;10k;THT;98.6203;-17.2782;90;Bottom;R17
511;;;22.7584;-66.2054;0;Bottom;Copper Fill326
512;;TO220 [THT];128.084;-38.8682;90;Bottom;Q11
513;;;130.251;-77.483;0;Bottom;Copper Fill202
514;;;11.0998;-34.4046;0;Bottom;Copper Fill253
515;;;70.993;-75.0192;0;Bottom;Copper Fill292
516;;;126.06;-46.0378;0;Bottom;Copper Fill238
517;;THT;57.9803;-12.1982;0;Bottom;Fan-1
518;;;5.9055;-19.6218;0;Bottom;Copper Fill68
519;;TO220 [THT];136.974;-38.8682;90;Bottom;Q7
520;;;15.494;-16.523;0;Bottom;Copper Fill396
521;100nF;100 mil [THT, multilayer];43.3753;-38.873;90;Bottom;C6
522;;;19.1135;-14.7831;0;Bottom;Copper Fill391
523;;;90.3351;-22.1618;0;Bottom;Copper Fill316
524;;TO92 [THT];111.231;-26.9937;90;Bottom;Q16
525;;;25.5778;-16.1547;0;Bottom;Copper Fill91
526;;;116.37;-46.7998;0;Bottom;Copper Fill369
527;;;39.243;-87.7827;0;Bottom;Copper Fill379
528;;;119.329;-89.2686;0;Bottom;Copper Fill190
529;;;20.4978;-16.1547;0;Bottom;Copper Fill121
530;;;41.783;-83.3377;0;Bottom;Copper Fill24
531;;;119.736;-96.6727;0;Bottom;Copper Fill71
532;;;43.6372;-90.6148;0;Bottom;Copper Fill184
533;;;14.5288;-53.2006;0;Bottom;Copper Fill226
534;10k;THT;92.9053;-101.098;180;Bottom;R37
535;0.22mF;200 mil [THT, electrolytic];79.5703;-25.5332;-90;Bottom;C5
536;220;THT;10.9903;-25.5332;180;Bottom;R9
537;;;43.3578;-41.0467;0;Bottom;Copper Fill304
538;;;63.6651;-100.8;0;Bottom;Copper Fill98
539;;;101.194;-96.3044;0;Bottom;Copper Fill1
540;;TO220 [THT];87.1903;-70.8722;0;Bottom;Q3
541;;;119.634;-141.288;0;Bottom;Copper Fill145
542;;;68.7451;-22.1618;0;Bottom;Copper Fill311
543;;;91.2241;-23.0381;0;Bottom;Copper Fill39
544;;;46.2407;-60.5031;0;Bottom;Copper Fill20
545;;;57.8104;-114.44;0;Bottom;Copper Fill150
546;;;109.474;-12.84;0;Bottom;Copper Fill11
547;;;127.165;-124.841;0;Bottom;Copper Fill60
548;;;47.1678;-61.4302;0;Bottom;Copper Fill302
549;0.22mF;200 mil [THT, electrolytic];68.7753;-25.5332;-90;Bottom;C3
550;;;41.402;-55.2834;0;Bottom;Copper Fill230
551;;;94.1578;-62.6875;0;Bottom;Copper Fill44
552;;THT;64.3303;-12.1982;0;Bottom;Fan-2
553;0.22µF;100 mil [THT, electrolytic];127.195;-19.1832;90;Bottom;C22
554;;;62.4078;-38.5575;0;Bottom;Copper Fill31
555;;;34.163;-43.8026;0;Bottom;Copper Fill237
556;;;71.2978;-120.612;0;Bottom;Copper Fill350
557;;;126.53;-46.7998;0;Bottom;Copper Fill370
558;;;26.8478;-64.5417;0;Bottom;Copper Fill53
559;;;13.0048;-41.0086;0;Bottom;Copper Fill245
560;;DIP (Dual Inline) [THT];50.3603;-46.4882;180;Bottom;Mux
561;;;45.72;-13.602;0;Bottom;Copper Fill291
562;;;20.4978;-13.4623;0;Bottom;Copper Fill122
563;;;48.1076;-69.8376;0;Bottom;Copper Fill211
